1582136447.7353399,897763,978276
1582136448.373576,901264,972456
1582136449.072432,901264,917161
1582136449.7738268,895137,989919
1582136450.4724674,901264,931711
1582136451.1736147,901701,957903
1582136451.8723657,897763,954993
1582136452.572969,903889,934621
1582136453.273099,896888,905518
1582136453.972955,902139,914251
1582136454.6731064,900389,928801
1582136455.3732367,899513,920071
1582136456.073365,896013,940444
1582136456.7720277,895137,943354
1582136457.4724348,898200,969546
1582136458.1725626,896888,917161
1582136458.872288,897763,922981
1582136459.5729263,906515,905518
1582136460.2731836,903889,969546
1582136460.9731305,901264,937534
1582136461.6719475,900826,981186
1582136462.3721523,904327,957903
1582136463.0717084,893387,928801
1582136463.7769086,899075,984099
1582136464.473055,896888,966637
1582136465.1720676,902576,954993
1582136465.872622,909578,940444
1582136466.5726955,906953,946264
1582136467.2723336,912641,957903
1582136467.9722073,911328,928801
1582136468.6723778,903889,954993
1582136469.3727505,907390,920071
1582136470.072856,903014,931711
1582136470.7719843,908703,975366
1582136471.4726565,906953,920071
1582136472.1722813,909140,940444
1582136472.8724256,909578,952084
1582136473.5721076,904327,1007379
1582136474.2728002,903889,978276
1582136474.9721756,911328,978276
1582136475.6720243,902576,934621
1582136476.3720584,900826,896788
1582136477.0717034,902139,905518
1582136477.7714283,898200,917161
1582136478.4721484,901701,943354
1582136479.172309,896888,914251
1582136479.8724055,902576,989919
1582136480.5720453,900826,969546
1582136481.2714844,893825,963726
1582136481.9721158,892074,995739
1582136482.671221,904327,960817
1582136483.3719141,910015,960817
1582136484.0719798,913516,911338
1582136484.7716825,900389,952084
1582136485.47185,905202,928801
1582136486.1714096,900826,937534
1582136486.872462,903452,931711
1582136487.5722072,902576,920071
1582136488.2724662,896013,984099
1582136488.9712267,896450,946264
1582136489.672357,902139,952084
1582136490.3714485,903452,920071
1582136491.0715768,903014,972456
1582136491.7716222,898200,914251
1582136492.471799,898200,902608
1582136493.1709118,893825,937534
1582136493.8721123,898638,899699
1582136494.5716887,899513,960817
1582136495.2714396,902576,963726
1582136495.9715328,904327,1004468
1582136496.6712794,903452,934621
1582136497.3718617,912203,989919
1582136498.0716279,912641,920071
1582136498.7722497,902576,975366
1582136499.4708066,896013,957903
1582136500.171477,897325,992829
1582136500.870907,899513,928801
1582136501.5710347,893825,908428
1582136502.271203,907828,969546
1582136502.9708152,904327,969546
1582136503.6718907,903889,925891
1582136504.371674,901701,896788
1582136505.071018,901264,914251
1582136505.771146,912641,992829
1582136506.4723127,905639,975366
1582136507.1712992,911766,937534
1582136507.8710775,913954,911338
1582136508.5704865,906515,984099
1582136509.2711248,895575,975366
1582136509.9710102,901701,931711
1582136510.6707783,903014,954993
1582136511.3716779,906953,969546
1582136512.071316,914392,937534
1582136512.7713556,908265,931711
1582136513.471442,896450,937534
1582136514.1699793,906077,937534
1582136514.8708584,909140,911338
1582136515.5709448,900826,920071
1582136516.271073,893387,960817
1582136516.971243,889449,943354
1582136517.6700637,887698,934621
1582136518.3700821,880697,946264
1582136519.070703,887698,905518
1582136519.7710404,885073,946264
1582136520.4711766,895575,952084
1582136521.170385,891199,917161
1582136521.8701224,892512,963726
1582136522.5701728,887698,890969
1582136523.2703216,892074,893879
1582136523.9701934,900826,928801
1582136524.6697621,899075,1001559
1582136525.3704286,889011,954993
1582136526.0705247,885948,928801
1582136526.770059,895137,893879
1582136527.4703574,899513,896788
1582136528.1704855,891199,978276
