data,data2,set temp,p,i,d
23.957818,25.00274,25.1,3.0,2.0,1.0
23.958032,25.002404,25.1,3.0,2.0,1.0
23.956933,25.002557,25.1,3.0,2.0,1.0
23.956994,25.002038,25.1,3.0,2.0,1.0
23.957482,25.002038,25.1,3.0,2.0,1.0
23.958337,25.003503,25.1,3.0,2.0,1.0
23.958337,25.001123,25.1,3.0,2.0,1.0
23.958245,25.003137,25.1,3.0,2.0,1.0
23.957299,25.001458,25.1,3.0,2.0,1.0
23.956414,25.001458,25.1,3.0,2.0,1.0
23.957116,25.001855,25.1,3.0,2.0,1.0
23.957116,25.001947,25.1,3.0,2.0,1.0
23.957635,25.001519,25.1,3.0,2.0,1.0
23.956414,25.002343,25.1,3.0,2.0,1.0
23.956231,25.002343,25.1,3.0,2.0,1.0
23.957879,25.004357,25.1,3.0,2.0,1.0
23.957879,25.005181,25.1,3.0,2.0,1.0
23.957543,25.0039,25.1,3.0,2.0,1.0
23.957849,25.003076,25.1,3.0,2.0,1.0
23.957849,25.003076,25.1,3.0,2.0,1.0
23.956689,25.002984,25.1,3.0,2.0,1.0
23.956689,25.003564,25.1,3.0,2.0,1.0
23.957696,25.002008,25.1,3.0,2.0,1.0
23.959405,25.003259,25.1,3.0,2.0,1.0
23.958612,25.003259,25.1,3.0,2.0,1.0
23.958947,25.003228,25.1,3.0,2.0,1.0
23.957849,25.002099,25.1,3.0,2.0,1.0
23.957849,25.003198,25.1,3.0,2.0,1.0
23.957238,25.004357,25.1,3.0,2.0,1.0
23.958673,25.004357,25.1,3.0,2.0,1.0
23.956353,25.003228,25.1,3.0,2.0,1.0
23.957086,25.002984,25.1,3.0,2.0,1.0
23.957086,25.002496,25.1,3.0,2.0,1.0
23.958032,25.001184,25.1,3.0,2.0,1.0
23.958489,25.001184,25.1,3.0,2.0,1.0
23.95794,25.002313,25.1,3.0,2.0,1.0
23.95675,25.003442,25.1,3.0,2.0,1.0
23.95675,25.003411,25.1,3.0,2.0,1.0
23.957635,25.00335,25.1,3.0,2.0,1.0
23.957116,25.00335,25.1,3.0,2.0,1.0
23.958825,25.001977,25.1,3.0,2.0,1.0
23.957238,25.002496,25.1,3.0,2.0,1.0
23.957238,25.003961,25.1,3.0,2.0,1.0
23.957025,25.002313,25.1,3.0,2.0,1.0
23.956994,25.002313,25.1,3.0,2.0,1.0
