data,data2,set temp,p,i,d
23.981439,25.024987,25.1,3.0,5.0,0.0
23.979089,25.024774,25.1,3.0,5.0,0.0
23.980767,25.027062,25.1,3.0,5.0,0.0
23.978601,25.025384,25.1,3.0,5.0,0.0
23.980279,25.024224,25.1,3.0,5.0,0.0
23.980279,25.024224,25.1,3.0,5.0,0.0
23.98092,25.025445,25.1,3.0,5.0,0.0
23.980218,25.024346,25.1,3.0,5.0,0.0
23.980462,25.024621,25.1,3.0,5.0,0.0
23.980767,25.024957,25.1,3.0,5.0,0.0
23.980767,25.024957,25.1,3.0,5.0,0.0
23.980767,25.025628,25.1,3.0,5.0,0.0
23.980004,25.023767,25.1,3.0,5.0,0.0
23.980004,25.025384,25.1,3.0,5.0,0.0
23.980798,25.024163,25.1,3.0,5.0,0.0
23.980798,25.024163,25.1,3.0,5.0,0.0
23.980371,25.024774,25.1,3.0,5.0,0.0
23.978204,25.025781,25.1,3.0,5.0,0.0
23.980035,25.025231,25.1,3.0,5.0,0.0
23.981439,25.025628,25.1,3.0,5.0,0.0
23.981439,25.025628,25.1,3.0,5.0,0.0
23.980126,25.025903,25.1,3.0,5.0,0.0
23.979791,25.026483,25.1,3.0,5.0,0.0
23.980584,25.02572,25.1,3.0,5.0,0.0
23.978997,25.025415,25.1,3.0,5.0,0.0
23.978997,25.025415,25.1,3.0,5.0,0.0
23.979455,25.025567,25.1,3.0,5.0,0.0
23.979364,25.025079,25.1,3.0,5.0,0.0
23.979852,25.024102,25.1,3.0,5.0,0.0
23.981683,25.025567,25.1,3.0,5.0,0.0
23.981683,25.025567,25.1,3.0,5.0,0.0
23.979852,25.024743,25.1,3.0,5.0,0.0
23.979669,25.026971,25.1,3.0,5.0,0.0
23.980981,25.024468,25.1,3.0,5.0,0.0
23.980767,25.024987,25.1,3.0,5.0,0.0
23.980767,25.024987,25.1,3.0,5.0,0.0
23.981164,25.024621,25.1,3.0,5.0,0.0
23.979821,25.024468,25.1,3.0,5.0,0.0
23.980371,25.025262,25.1,3.0,5.0,0.0
23.981378,25.025384,25.1,3.0,5.0,0.0
23.981378,25.025384,25.1,3.0,5.0,0.0
23.98031,25.024774,25.1,3.0,5.0,0.0
23.979943,25.024926,25.1,3.0,5.0,0.0
23.979852,25.02572,25.1,3.0,5.0,0.0
23.979608,25.025781,25.1,3.0,5.0,0.0
23.979608,25.025781,25.1,3.0,5.0,0.0
23.979852,25.026177,25.1,3.0,5.0,0.0
23.980157,25.024102,25.1,3.0,5.0,0.0
23.980401,25.024743,25.1,3.0,5.0,0.0
23.980157,25.023828,25.1,3.0,5.0,0.0
23.980157,25.023828,25.1,3.0,5.0,0.0
23.980462,25.02514,25.1,3.0,5.0,0.0
23.980981,25.024285,25.1,3.0,5.0,0.0
23.979425,25.025262,25.1,3.0,5.0,0.0
23.980279,25.025964,25.1,3.0,5.0,0.0
23.980279,25.025964,25.1,3.0,5.0,0.0
23.979913,25.024102,25.1,3.0,5.0,0.0
23.980767,25.024957,25.1,3.0,5.0,0.0
23.979486,25.025506,25.1,3.0,5.0,0.0
23.979364,25.024774,25.1,3.0,5.0,0.0
23.979364,25.024774,25.1,3.0,5.0,0.0
23.980584,25.025567,25.1,3.0,5.0,0.0
23.980462,25.024285,25.1,3.0,5.0,0.0
23.979425,25.025415,25.1,3.0,5.0,0.0
23.980798,25.024468,25.1,3.0,5.0,0.0
23.980798,25.024468,25.1,3.0,5.0,0.0
23.981561,25.025567,25.1,3.0,5.0,0.0
23.980554,25.025415,25.1,3.0,5.0,0.0
23.980218,25.025567,25.1,3.0,5.0,0.0
23.980767,25.025781,25.1,3.0,5.0,0.0
23.980767,25.025781,25.1,3.0,5.0,0.0
23.980401,25.024163,25.1,3.0,5.0,0.0
23.980554,25.025445,25.1,3.0,5.0,0.0
23.981042,25.025628,25.1,3.0,5.0,0.0
23.980981,25.025079,25.1,3.0,5.0,0.0
23.979669,25.025079,25.1,3.0,5.0,0.0
23.979669,25.025079,25.1,3.0,5.0,0.0
23.97973,25.024468,25.1,3.0,5.0,0.0
