data,data2,set temp,p,i,d
25.501184,26.079614,25.5,24.0,8.0,0.0
25.497796,26.080072,25.5,24.0,8.0,0.0
25.494348,26.081445,25.5,24.0,8.0,0.0
25.488916,26.081445,25.5,24.0,8.0,0.0
25.482385,26.085198,25.5,24.0,8.0,0.0
25.474267,26.090417,25.5,24.0,8.0,0.0
25.469079,26.09356,25.5,24.0,8.0,0.0
25.469079,26.098718,25.5,24.0,8.0,0.0
25.463037,26.098718,25.5,24.0,8.0,0.0
25.458886,26.104547,25.5,24.0,8.0,0.0
25.455102,26.106683,25.5,24.0,8.0,0.0
25.452294,26.107934,25.5,24.0,8.0,0.0
25.452294,26.107995,25.5,24.0,8.0,0.0
25.450769,26.107995,25.5,24.0,8.0,0.0
25.451806,26.106378,25.5,24.0,8.0,0.0
25.453179,26.105187,25.5,24.0,8.0,0.0
25.455957,26.105157,25.5,24.0,8.0,0.0
25.455957,26.104302,25.5,24.0,8.0,0.0
25.458276,26.104302,25.5,24.0,8.0,0.0
25.459985,26.105798,25.5,24.0,8.0,0.0
25.462579,26.10653,25.5,24.0,8.0,0.0
25.465478,26.106866,25.5,24.0,8.0,0.0
25.465478,26.107293,25.5,24.0,8.0,0.0
25.469415,26.107293,25.5,24.0,8.0,0.0
25.470208,26.105371,25.5,24.0,8.0,0.0
25.473565,26.100518,25.5,24.0,8.0,0.0
25.474786,26.098626,25.5,24.0,8.0,0.0
25.474786,26.094415,25.5,24.0,8.0,0.0
25.475762,26.094415,25.5,24.0,8.0,0.0
25.475579,26.091851,25.5,24.0,8.0,0.0
25.476159,26.090203,25.5,24.0,8.0,0.0
25.475305,26.08944,25.5,24.0,8.0,0.0
25.475305,26.085412,25.5,24.0,8.0,0.0
25.475915,26.085412,25.5,24.0,8.0,0.0
25.476312,26.08413,25.5,24.0,8.0,0.0
25.476403,26.083276,25.5,24.0,8.0,0.0
25.478601,26.081719,25.5,24.0,8.0,0.0
25.478601,26.081536,25.5,24.0,8.0,0.0
25.478234,26.081536,25.5,24.0,8.0,0.0
25.478814,26.080712,25.5,24.0,8.0,0.0
25.480615,26.080468,25.5,24.0,8.0,0.0
25.482202,26.081109,25.5,24.0,8.0,0.0
25.482202,26.079919,25.5,24.0,8.0,0.0
25.481866,26.079797,25.5,24.0,8.0,0.0
25.483697,26.079797,25.5,24.0,8.0,0.0
25.484857,26.08001,25.5,24.0,8.0,0.0
25.484277,26.079553,25.5,24.0,8.0,0.0
